file,line,issue,severity
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","7","Line too long (156 characters)","info"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","653","Line too long (126 characters)","info"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","671","Trailing whitespace","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","68","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","308","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","320","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","333","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","349","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","363","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","395","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","422","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","432","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","442","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","474","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","496","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","515","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","586","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","596","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","620","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","630","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","461","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","479","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","501","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","522","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","461","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","479","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","501","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","522","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","461","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","479","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","501","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","522","Duplicate heading: ""Response Example""","warning"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","8","Line too long (333 characters)","info"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","521","Line too long (340 characters)","info"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","530","Line too long (122 characters)","info"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","536","Trailing whitespace","warning"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","80","Heading level jumps from H1 to H3","warning"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","108","Heading level jumps from H1 to H3","warning"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","160","Heading level jumps from H1 to H3","warning"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","235","Heading level jumps from H1 to H3","warning"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","269","Heading level jumps from H1 to H3","warning"
"docs\ADVANCED_SECURITY_ARCHITECTURE.md","347","Heading level jumps from H1 to H3","warning"
"docs\AI_ALGO_TRADE_COMPETITOR_ANALYSIS_2025.md","10","Line too long (290 characters)","info"
"docs\AI_ALGO_TRADE_COMPETITOR_ANALYSIS_2025.md","338","Line too long (170 characters)","info"
"docs\AI_ALGO_TRADE_COMPREHENSIVE_ANALYSIS_2025.md","11","Line too long (336 characters)","info"
"docs\AI_ALGO_TRADE_COMPREHENSIVE_ANALYSIS_2025.md","333","Line too long (229 characters)","info"
"docs\AI_ALGO_TRADE_COMPREHENSIVE_ANALYSIS_2025.md","341","Trailing whitespace","warning"
"docs\AI_ALGO_TRADE_COMPREHENSIVE_ANALYSIS_2025.md","205","Heading level jumps from H1 to H3","warning"
"docs\AI_ALGO_TRADE_NEXT_GEN_ROADMAP_2025.md","11","Line too long (228 characters)","info"
"docs\AI_ALGO_TRADE_NEXT_GEN_ROADMAP_2025.md","491","Line too long (126 characters)","info"
"docs\AI_ALGO_TRADE_NEXT_GEN_ROADMAP_2025.md","495","Trailing whitespace","warning"
"docs\AI_ALGO_TRADE_NEXT_GEN_ROADMAP_2025.md","56","Heading level jumps from H1 to H4","warning"
"docs\AI_ALGO_TRADE_NEXT_GEN_ROADMAP_2025.md","204","Heading level jumps from H1 to H3","warning"
"docs\AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md","11","Line too long (281 characters)","info"
"docs\AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md","534","Line too long (121 characters)","info"
"docs\AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md","538","Trailing whitespace","warning"
"docs\AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md","146","Heading level jumps from H1 to H4","warning"
"docs\AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md","172","Heading level jumps from H1 to H3","warning"
"docs\AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md","211","Heading level jumps from H1 to H4","warning"
"docs\architecture\MODULAR_INTEGRATION_ROADMAP.md","4","Line too long (197 characters)","info"
"docs\architecture\MODULAR_INTEGRATION_ROADMAP.md","286","Trailing whitespace","warning"
"docs\architecture\MODULAR_INTEGRATION_ROADMAP.md","68","Heading level jumps from H1 to H4","warning"
"docs\architecture\MODULAR_INTEGRATION_ROADMAP.md","94","Heading level jumps from H1 to H4","warning"
"docs\architecture\MODULAR_INTEGRATION_ROADMAP.md","123","Heading level jumps from H1 to H4","warning"
"docs\architecture\MODULAR_INTEGRATION_ROADMAP.md","151","Heading level jumps from H1 to H4","warning"
"docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md","359","Trailing whitespace","warning"
"docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md","359","Line too long (171 characters)","info"
"docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md","138","Heading level jumps from H1 to H3","warning"
"docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md","176","Heading level jumps from H1 to H4","warning"
"docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md","233","Heading level jumps from H1 to H3","warning"
"docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md","272","Heading level jumps from H1 to H3","warning"
"docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md","288","Heading level jumps from H1 to H3","warning"
"docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md","324","Heading level jumps from H1 to H3","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","472","Line too long (143 characters)","info"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","490","Trailing whitespace","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","25","Heading level jumps from H1 to H4","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","37","Heading level jumps from H1 to H4","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","49","Heading level jumps from H1 to H3","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","123","Heading level jumps from H1 to H4","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","153","Heading level jumps from H1 to H4","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","197","Heading level jumps from H1 to H3","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","234","Heading level jumps from H1 to H4","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","250","Heading level jumps from H1 to H4","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","266","Heading level jumps from H1 to H3","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","285","Heading level jumps from H1 to H4","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","302","Heading level jumps from H1 to H4","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","350","Heading level jumps from H1 to H3","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","383","Heading level jumps from H1 to H3","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","399","Heading level jumps from H1 to H3","warning"
"docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md","441","Heading level jumps from H1 to H3","warning"
"docs\dashboard-screenshots.md","6","Dead local link: ./screenshots/quantum-dashboard-overview.png","error"
"docs\dashboard-screenshots.md","28","Dead local link: ./screenshots/influence-analytics.png","error"
"docs\dashboard-screenshots.md","49","Dead local link: ./screenshots/network-visualization.png","error"
"docs\dashboard-screenshots.md","73","Dead local link: ./screenshots/ai-insights.png","error"
"docs\dashboard-screenshots.md","285","Trailing whitespace","warning"
"docs\dashboard-screenshots.md","217","Heading level jumps from H1 to H3","warning"
"docs\dashboard-screenshots.md","6","Missing image file: ./screenshots/quantum-dashboard-overview.png","error"
"docs\dashboard-screenshots.md","28","Missing image file: ./screenshots/influence-analytics.png","error"
"docs\dashboard-screenshots.md","49","Missing image file: ./screenshots/network-visualization.png","error"
"docs\dashboard-screenshots.md","73","Missing image file: ./screenshots/ai-insights.png","error"
"docs\diagrams\adaptive-trade-manager-architecture.md","45","Trailing whitespace","warning"
"docs\diagrams\adaptive-trade-manager-flow.md","40","Trailing whitespace","warning"
"docs\diagrams\data-flow-diagram.md","3","Line too long (170 characters)","info"
"docs\diagrams\data-flow-diagram.md","62","Trailing whitespace","warning"
"docs\diagrams\database-schema.md","3","Line too long (133 characters)","info"
"docs\diagrams\database-schema.md","62","Line too long (138 characters)","info"
"docs\diagrams\database-schema.md","66","Line too long (137 characters)","info"
"docs\diagrams\database-schema.md","74","Trailing whitespace","warning"
"docs\diagrams\frontend-component-diagram.md","3","Line too long (126 characters)","info"
"docs\diagrams\frontend-component-diagram.md","62","Line too long (123 characters)","info"
"docs\diagrams\frontend-component-diagram.md","65","Trailing whitespace","warning"
"docs\diagrams\god-mode-architecture.md","3","Line too long (134 characters)","info"
"docs\diagrams\god-mode-architecture.md","79","Line too long (147 characters)","info"
"docs\diagrams\god-mode-architecture.md","80","Line too long (153 characters)","info"
"docs\diagrams\god-mode-architecture.md","82","Trailing whitespace","warning"
"docs\diagrams\god-mode-architecture.md","82","Line too long (130 characters)","info"
"docs\diagrams\god-mode-completion-summary.md","3","Line too long (140 characters)","info"
"docs\diagrams\god-mode-completion-summary.md","18","Line too long (125 characters)","info"
"docs\diagrams\god-mode-completion-summary.md","19","Line too long (125 characters)","info"
"docs\diagrams\god-mode-completion-summary.md","20","Line too long (133 characters)","info"
"docs\diagrams\god-mode-completion-summary.md","63","Trailing whitespace","warning"
"docs\diagrams\god-mode-completion-summary.md","63","Line too long (215 characters)","info"
"docs\diagrams\god-mode-integration-plan.md","3","Line too long (132 characters)","info"
"docs\diagrams\god-mode-integration-plan.md","69","Line too long (127 characters)","info"
"docs\diagrams\god-mode-integration-plan.md","70","Line too long (130 characters)","info"
"docs\diagrams\god-mode-integration-plan.md","72","Trailing whitespace","warning"
"docs\diagrams\market-narrator-flow.md","33","Trailing whitespace","warning"
"docs\diagrams\README.md","3","Line too long (194 characters)","info"
"docs\diagrams\README.md","32","Line too long (136 characters)","info"
"docs\diagrams\README.md","35","Line too long (127 characters)","info"
"docs\diagrams\README.md","38","Line too long (136 characters)","info"
"docs\diagrams\README.md","41","Line too long (139 characters)","info"
"docs\diagrams\README.md","44","Line too long (186 characters)","info"
"docs\diagrams\README.md","47","Line too long (188 characters)","info"
"docs\diagrams\README.md","101","Trailing whitespace","warning"
"docs\diagrams\revolutionary-features-overview.md","3","Line too long (122 characters)","info"
"docs\diagrams\revolutionary-features-overview.md","89","Trailing whitespace","warning"
"docs\diagrams\shadow-mode-architecture.md","125","Trailing whitespace","warning"
"docs\diagrams\shadow-mode-integration-plan.md","3","Line too long (135 characters)","info"
"docs\diagrams\shadow-mode-integration-plan.md","69","Line too long (129 characters)","info"
"docs\diagrams\shadow-mode-integration-plan.md","70","Line too long (129 characters)","info"
"docs\diagrams\shadow-mode-integration-plan.md","71","Trailing whitespace","warning"
"docs\diagrams\strategy-whisperer-architecture.md","47","Trailing whitespace","warning"
"docs\diagrams\system-architecture.md","35","Line too long (121 characters)","info"
"docs\diagrams\system-architecture.md","42","Trailing whitespace","warning"
"docs\diagrams\ultimate-feature-matrix.md","3","Line too long (178 characters)","info"
"docs\diagrams\ultimate-feature-matrix.md","74","Line too long (154 characters)","info"
"docs\diagrams\ultimate-feature-matrix.md","75","Trailing whitespace","warning"
"docs\diagrams\ultimate-feature-matrix.md","75","Line too long (130 characters)","info"
"docs\diagrams\whale-detection-process.md","75","Trailing whitespace","warning"
"docs\frontend\DASHBOARD_MODERNIZATION_SUMMARY.md","192","Line too long (304 characters)","info"
"docs\frontend\DASHBOARD_MODERNIZATION_SUMMARY.md","198","Trailing whitespace","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","8","Line too long (186 characters)","info"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","509","Line too long (185 characters)","info"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","511","Trailing whitespace","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","150","Heading level jumps from H1 to H3","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","340","Heading level jumps from H1 to H3","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","372","Heading level jumps from H1 to H4","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","404","Heading level jumps from H1 to H4","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","90","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","122","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","153","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","205","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","95","Duplicate heading: ""Solution:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","127","Duplicate heading: ""Solution:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","158","Duplicate heading: ""Solution:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","101","Duplicate heading: ""Implementation:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","133","Duplicate heading: ""Implementation:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","90","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","122","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","153","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","205","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","95","Duplicate heading: ""Solution:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","127","Duplicate heading: ""Solution:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","158","Duplicate heading: ""Solution:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","90","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","122","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","153","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","205","Duplicate heading: ""Current Issues:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","176","Duplicate heading: ""Target Design:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","210","Duplicate heading: ""Target Design:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","243","Duplicate heading: ""Target Design:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","195","Duplicate heading: ""Features to Add:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","228","Duplicate heading: ""Features to Add:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","171","Duplicate heading: ""Current State:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","238","Duplicate heading: ""Current State:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","176","Duplicate heading: ""Target Design:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","210","Duplicate heading: ""Target Design:""","warning"
"docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md","243","Duplicate heading: ""Target Design:""","warning"
"docs\GOD_MODE_ULTIMATE_ROADMAP.md","4","Line too long (144 characters)","info"
"docs\GOD_MODE_ULTIMATE_ROADMAP.md","7","Line too long (193 characters)","info"
"docs\GOD_MODE_ULTIMATE_ROADMAP.md","102","Line too long (188 characters)","info"
"docs\GOD_MODE_ULTIMATE_ROADMAP.md","281","Trailing whitespace","warning"
"docs\GOD_MODE_ULTIMATE_ROADMAP.md","281","Line too long (188 characters)","info"
"docs\GOD_MODE_ULTIMATE_ROADMAP.md","71","Heading level jumps from H1 to H3","warning"
"docs\GOD_MODE_ULTIMATE_ROADMAP.md","86","Heading level jumps from H1 to H3","warning"
"docs\MARKET_NARRATOR_ROADMAP.md","4","Line too long (125 characters)","info"
"docs\MARKET_NARRATOR_ROADMAP.md","7","Line too long (139 characters)","info"
"docs\MARKET_NARRATOR_ROADMAP.md","111","Line too long (162 characters)","info"
"docs\MARKET_NARRATOR_ROADMAP.md","117","Line too long (137 characters)","info"
"docs\MARKET_NARRATOR_ROADMAP.md","121","Line too long (270 characters)","info"
"docs\MARKET_NARRATOR_ROADMAP.md","127","Line too long (251 characters)","info"
"docs\MARKET_NARRATOR_ROADMAP.md","129","Line too long (148 characters)","info"
"docs\MARKET_NARRATOR_ROADMAP.md","226","Trailing whitespace","warning"
"docs\MARKET_NARRATOR_ROADMAP.md","64","Heading level jumps from H1 to H3","warning"
"docs\MODULAR_INTEGRATION_ROADMAP.md","4","Line too long (196 characters)","info"
"docs\MODULAR_INTEGRATION_ROADMAP.md","286","Trailing whitespace","warning"
"docs\MODULAR_INTEGRATION_ROADMAP.md","290","Trailing whitespace","warning"
"docs\MODULAR_INTEGRATION_ROADMAP.md","296","Trailing whitespace","warning"
"docs\MODULAR_INTEGRATION_ROADMAP.md","596","Trailing whitespace","warning"
"docs\MODULAR_INTEGRATION_ROADMAP.md","596","Line too long (333 characters)","info"
"docs\MODULAR_INTEGRATION_ROADMAP.md","68","Heading level jumps from H1 to H4","warning"
