path,filename,title,type,last_modified,size_bytes,word_count,line_count,total_links,internal_links_count,external_links_count,broken_links_count,internal_links,external_links,broken_links,file_references
docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md,ADAPTIVE_TRADE_MANAGER_ROADMAP.md,🛡️ ADAPTIVE TRADE MANAGER - Detaylı Yol Haritası,status,2025-06-30T16:32:07.472003,19805,2361,671,4,0,4,0,,"(http://localhost:8002/api/v1/adaptive-trade-manager/status"") | (http://localhost:8002/api/v1/adaptive-trade-manager/optimization-suggestions"") | (http://localhost:8002/api/v1/adaptive-trade-manager/risk-assessment"") | (http://localhost:8002/api/v1/adaptive-trade-manager/calculate-optimal-size"")",,backend/modules/adaptive_trade_manager/models.py | backend/modules/adaptive_trade_manager/optimization_engine.py | backend/modules/adaptive_trade_manager/risk_calculator.py | backend/api/v1/adaptive_trade_manager.py
docs\ADVANCED_SECURITY_ARCHITECTURE.md,ADVANCED_SECURITY_ARCHITECTURE.md,Advanced Security Architecture for AI Algorithmic Trading Platform,api,2025-07-01T08:03:20.597306,18507,1718,536,0,0,0,0,,,,
docs\AI_ALGO_TRADE_COMPETITOR_ANALYSIS_2025.md,AI_ALGO_TRADE_COMPETITOR_ANALYSIS_2025.md,🏆 AI ALGO TRADE - COMPETITOR ANALYSIS 2025,api,2025-06-30T22:00:12.376747,10376,1463,387,0,0,0,0,,,,
docs\AI_ALGO_TRADE_COMPREHENSIVE_ANALYSIS_2025.md,AI_ALGO_TRADE_COMPREHENSIVE_ANALYSIS_2025.md,📊 AI ALGO TRADE - COMPREHENSIVE DOCUMENTATION ANALYSIS REPORT,status,2025-06-30T21:46:55.302176,11875,1581,341,0,0,0,0,,,,
docs\AI_ALGO_TRADE_NEXT_GEN_ROADMAP_2025.md,AI_ALGO_TRADE_NEXT_GEN_ROADMAP_2025.md,🚀 AI ALGO TRADE - NEXT GENERATION ROADMAP 2025,tech-spec,2025-06-30T21:38:46.692574,12308,1551,495,0,0,0,0,,,,
docs\AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md,AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md,🚀 AI ALGO TRADE - ULTIMATE PERFECTION ROADMAP 2025,tech-spec,2025-06-30T21:46:55.302176,15329,1756,538,0,0,0,0,,,,
docs\architecture\MODULAR_INTEGRATION_ROADMAP.md,MODULAR_INTEGRATION_ROADMAP.md,🚀 AI Algo Trade - Modüler Entegrasyon Roadmap'i,tech-spec,2025-06-27T21:38:35.945536,11115,1229,286,0,0,0,0,,,,
docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md,SYSTEM_ARCHITECTURE_UPDATED.md,🏗️ **AI ALGO TRADE - SYSTEM ARCHITECTURE UPDATE**,tech-spec,2025-06-30T16:34:33.121347,10468,1114,359,0,0,0,0,,,,
docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md,UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md,🏗️ **UNIFIED TRADING ARCHITECTURE - ENHANCED ROADMAP**,tech-spec,2025-06-30T16:33:34.535448,14750,1605,490,0,0,0,0,,,,backend/core/enhanced_event_bus.py | backend/core/unified_trading_engine.py | backend/core/shared_data_service.py
docs\dashboard-screenshots.md,dashboard-screenshots.md,📊 Quantum Dashboard Visual Documentation,user-guide,2025-06-26T13:50:02.606315,11970,981,285,6,0,2,4,,(http://localhost:3000/quantum) | (http://localhost:3000/quantum`),Quantum Dashboard Overview(./screenshots/quantum-dashboard-overview.png) | Influence Analytics(./screenshots/influence-analytics.png) | 3D Network Graph(./screenshots/network-visualization.png) | AI Insights(./screenshots/ai-insights.png),
docs\diagrams\adaptive-trade-manager-architecture.md,adaptive-trade-manager-architecture.md,Adaptive Trade Manager Architecture,tech-spec,2025-06-27T12:18:44.151211,1147,132,45,0,0,0,0,,,,
docs\diagrams\adaptive-trade-manager-flow.md,adaptive-trade-manager-flow.md,Adaptive Trade Manager Flow,diagram,2025-06-27T12:18:55.088771,1375,156,40,0,0,0,0,,,,
docs\diagrams\data-flow-diagram.md,data-flow-diagram.md,🔄 Veri Akış Diyagramı,api,2025-06-27T10:29:52.873640,2783,310,62,0,0,0,0,,,,
docs\diagrams\database-schema.md,database-schema.md,🗄️ Veritabanı Şeması,tech-spec,2025-06-27T10:36:12.835908,2898,272,74,0,0,0,0,,,,
docs\diagrams\frontend-component-diagram.md,frontend-component-diagram.md,⚛️ Frontend Component Architecture,tech-spec,2025-06-27T10:48:25.985780,2150,183,65,0,0,0,0,,,,
docs\diagrams\god-mode-architecture.md,god-mode-architecture.md,🔱 God Mode - System Architecture,api,2025-06-27T10:30:18.019778,3012,294,82,0,0,0,0,,,,
docs\diagrams\god-mode-completion-summary.md,god-mode-completion-summary.md,🏆 God Mode - Tamamlanma Özeti,api,2025-06-27T11:05:30.658499,3077,239,63,0,0,0,0,,,,
docs\diagrams\god-mode-integration-plan.md,god-mode-integration-plan.md,⚡ God Mode - Entegrasyon Planı,api,2025-06-27T11:05:30.658499,2364,233,72,0,0,0,0,,,,
docs\diagrams\market-narrator-architecture.md,market-narrator-architecture.md,market-narrator-architecture,tech-spec,2025-06-27T13:11:34.386232,1,0,1,0,0,0,0,,,,
docs\diagrams\market-narrator-flow.md,market-narrator-flow.md,Market Narrator Flow,api,2025-06-27T13:11:47.653582,1236,114,33,0,0,0,0,,,,
docs\diagrams\README.md,README.md,📊 AI Algo Trade - Diagrams & Visuals,tech-spec,2025-06-27T11:05:30.658499,4325,471,101,17,17,0,0,Devrimsel Özellikler - Genel Bakış(./revolutionary-features-overview.md) | Proje Özellik Matrisi(./ultimate-feature-matrix.md) | Genel Sistem Mimarisi(./system-architecture.md) | God Mode Mimarisi(./god-mode-architecture.md) | Shadow Mode Mimarisi(./shadow-mode-architecture.md) | Frontend Bileşen Mimarisi(./frontend-component-diagram.md) | Veritabanı Şeması(./database-schema.md) | Veri Akış Diyagramı(./data-flow-diagram.md) | Whale Tespit Süreci(./whale-detection-process.md) | God Mode Entegrasyon Planı(./god-mode-integration-plan.md) | Shadow Mode Entegrasyon Planı(./shadow-mode-integration-plan.md) | God Mode Tamamlanma Özeti(./god-mode-completion-summary.md) | Genel Sistem Mimarisi(./system-architecture.md) | God Mode Mimarisi(./god-mode-architecture.md) | Shadow Mode Mimarisi(./shadow-mode-architecture.md) | Veri Akış Diyagramı(./data-flow-diagram.md) | Whale Tespit Süreci(./whale-detection-process.md),,,.md | system-architecture.md | shadow-mode-architecture.md | god-mode-architecture.md | data-flow-diagram.md | shadow-mode-workflow.md | whale-detection-process.md | stealth-execution-flow.md | institutional-tracking-flow.md | shadow-mode-ui-mockup.md | quantum-dashboard-mockup.md | mobile-responsive-design.md | trading-strategy-diagram.md | risk-management-flow.md | performance-metrics-chart.md | api-endpoint-structure.md | database-schema.md | component-relationship.md
docs\diagrams\revolutionary-features-overview.md,revolutionary-features-overview.md,✨ Devrimsel Özellikler - Genel Bakış,diagram,2025-06-27T11:05:30.658499,3444,347,89,0,0,0,0,,,,
docs\diagrams\shadow-mode-architecture.md,shadow-mode-architecture.md,🥷 Shadow Mode - System Architecture,api,2025-06-27T10:48:25.985780,3382,364,125,0,0,0,0,,,,
docs\diagrams\shadow-mode-integration-plan.md,shadow-mode-integration-plan.md,🥷 Shadow Mode - Entegrasyon Planı,tech-spec,2025-06-27T10:59:04.867846,2380,226,71,0,0,0,0,,,,
docs\diagrams\strategy-whisperer-architecture.md,strategy-whisperer-architecture.md,Strategy Whisperer Architecture,tech-spec,2025-06-27T11:36:08.854255,1104,117,47,0,0,0,0,,,,
docs\diagrams\strategy-whisperer-flow.md,strategy-whisperer-flow.md,strategy-whisperer-flow,diagram,2025-06-27T11:36:23.642944,1,0,1,0,0,0,0,,,,
docs\diagrams\system-architecture.md,system-architecture.md,🏗️ Genel Sistem Mimarisi,api,2025-06-27T10:29:26.562845,1877,198,42,0,0,0,0,,,,
docs\diagrams\ultimate-feature-matrix.md,ultimate-feature-matrix.md,MATRIX: Proje Özellik Matrisi,tech-spec,2025-06-27T10:58:10.094330,2616,250,75,0,0,0,0,,,,
docs\diagrams\whale-detection-process.md,whale-detection-process.md,🐋 Whale Detection Process,diagram,2025-06-27T08:39:38.548512,2207,232,75,0,0,0,0,,,,
docs\frontend\DASHBOARD_MODERNIZATION_SUMMARY.md,DASHBOARD_MODERNIZATION_SUMMARY.md,🚀 **AI Algo Trade - Dashboard Modernizasyonu Tamamlandı**,status,2025-06-29T03:50:20.690898,5813,731,198,2,0,2,0,,(http://localhost:3006**) | (http://localhost:8000**),,
docs\frontend\QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md,QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md,🚀 QUANTUM DASHBOARD MODERNIZATION ROADMAP 2025,tech-spec,2025-06-27T05:06:09.956860,14666,1786,511,0,0,0,0,,,,
docs\GOD_MODE_ULTIMATE_ROADMAP.md,GOD_MODE_ULTIMATE_ROADMAP.md,⚡ GOD MODE - Ultimate Trading Tanrısı Yol Haritası,status,2025-06-27T07:59:30.483924,7747,1041,281,0,0,0,0,,,,
docs\MARKET_NARRATOR_ROADMAP.md,MARKET_NARRATOR_ROADMAP.md,📖 THE MARKET NARRATOR - Detaylı Yol Haritası,status,2025-06-27T07:55:59.193224,6916,929,226,0,0,0,0,,,,
docs\MODULAR_INTEGRATION_ROADMAP.md,MODULAR_INTEGRATION_ROADMAP.md,🚀 AI Algo Trade - Modüler Entegrasyon Roadmap'i,tech-spec,2025-06-28T06:27:40.911610,22086,2178,596,1,0,1,0,,(https://forge.mql5.io/ai-algo-trade.git),,
docs\modules\MARKET_NARRATOR_PHASE3_ROADMAP.md,MARKET_NARRATOR_PHASE3_ROADMAP.md,📰 **MARKET NARRATOR - PHASE 3 ROADMAP** ,status,2025-06-30T16:45:00.647205,12978,1520,354,0,0,0,0,,,,backend/modules/market_narrator/models.py | backend/modules/market_narrator/data_aggregator.py | backend/modules/market_narrator/correlation_engine.py | backend/modules/market_narrator/story_generator.py | backend/api/v1/market_narrator.py
docs\PROJECT_CLEANUP_ROADMAP.md,PROJECT_CLEANUP_ROADMAP.md,🧹 AI Algo Trade - Project Cleanup Roadmap,tech-spec,2025-06-30T21:19:14.543340,6952,804,221,0,0,0,0,,,,trader_status.md | advanced_crypto_trader.py | ai-algo-trade-ci.yml | SYSTEM_ARCHITECTURE_UPDATED.md | UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md | MODULAR_INTEGRATION_ROADMAP.md | ADAPTIVE_TRADE_MANAGER_ROADMAP.md | SHADOW_MODE_ROADMAP.md | MARKET_NARRATOR_ROADMAP.md | STRATEGY_WHISPERER_ROADMAP.md | GOD_MODE_ULTIMATE_ROADMAP.md | MARKET_NARRATOR_PHASE3_ROADMAP.md | QUANTUM_DASHBOARD_ROADMAP.md | DASHBOARD_MODERNIZATION_SUMMARY.md | QUANTUM_DASHBOARD_MODERNIZATION_ROADMAP.md | dashboard-screenshots.md | PHASE_DEVELOPMENT_STATUS.md | MODULAR_INTEGRATION_SUMMARY.md | *IMPLEMENTATION_TASKS.md | ADVANCED_ROADMAP_2025.md | AI_ALGO_TRADE_ENHANCED_ROADMAP_2025.md | MODULAR_DEVELOPMENT_ROADMAP_2025.md | COMPLETE_SYSTEM_GUIDE.md | PROJE_KULLANIM_KILAVUZU.md | QUICK_START_GUIDE.md | UNIFIED_TRADING_ENGINE_STARTUP_GUIDE.md | ARCHITECTURE.md | AI_ENHANCEMENTS_SUMMARY.md | IMPORT_SORUNLARI_COZULDU.md | UNIFIED_TRADING_ENGINE_SUMMARY.md | SYSTEM_STATUS_CHECK.md
docs\QUANTUM_DASHBOARD_COMPLETE.md,QUANTUM_DASHBOARD_COMPLETE.md,QUANTUM_DASHBOARD_COMPLETE,general,2025-06-26T13:53:27.696489,1,0,1,0,0,0,0,,,,
docs\QUANTUM_DASHBOARD_ROADMAP.md,QUANTUM_DASHBOARD_ROADMAP.md,🚀 QUANTUM TRADING DASHBOARD - Ultimate Roadmap 2025,api,2025-06-30T07:42:01.723559,23101,2554,690,5,0,5,0,,Handshake Influence Dashboard(https://www.pinterest.com/pin/1407443628128587) | (https://www.pinterest.com/pin/1407443628128587) | (http://localhost:3000/quantum) | (http://localhost:3000`) | (http://localhost:3000/quantum`),,
docs\QUANTUM_DASHBOARD_ULTIMATE_VISION.md,QUANTUM_DASHBOARD_ULTIMATE_VISION.md,🌌 QUANTUM DASHBOARD - ULTIMATE VISION 2025,status,2025-06-26T15:20:59.580345,10614,1041,236,0,0,0,0,,,,
docs\README.md,README.md,📚 AI Algo Trade - Documentation Hub,user-guide,2025-06-30T21:09:35.297836,2289,163,54,29,16,0,13,Quick Start Guide(./user-guides/QUICK_START_GUIDE.md) | System Status Check(./system/SYSTEM_STATUS_CHECK.md) | System Architecture(./architecture/SYSTEM_ARCHITECTURE_UPDATED.md) | Unified Trading Architecture(./architecture/UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md) | Event-Driven Integration(./architecture/MODULAR_INTEGRATION_ROADMAP.md) | Dashboard Modernization(./frontend/DASHBOARD_MODERNIZATION_SUMMARY.md) | Phase Development Status(./status/PHASE_DEVELOPMENT_STATUS.md) | Module Integration Summary(./status/MODULAR_INTEGRATION_SUMMARY.md) | Advanced Roadmap 2025(./roadmaps/ADVANCED_ROADMAP_2025.md) | Enhanced Roadmap 2025(./roadmaps/AI_ALGO_TRADE_ENHANCED_ROADMAP_2025.md) | Project Usage Guide (Turkish)(./user-guides/PROJE_KULLANIM_KILAVUZU.md) | Complete System Guide(./user-guides/COMPLETE_SYSTEM_GUIDE.md) | Core Architecture(./technical/ARCHITECTURE.md) | AI Enhancements Summary(./technical/AI_ENHANCEMENTS_SUMMARY.md) | Import Issues Resolved(./technical/IMPORT_SORUNLARI_COZULDU.md) | Legacy Documentation(./archive/),,Project Setup Guide(./user-guides/PROJECT_SETUP.md) | Shadow Mode Roadmap(./modules/SHADOW_MODE_ROADMAP.md) | Adaptive Trade Manager(./modules/ADAPTIVE_TRADE_MANAGER_ROADMAP.md) | Market Narrator(./modules/MARKET_NARRATOR_ROADMAP.md) | Strategy Whisperer(./modules/STRATEGY_WHISPERER_ROADMAP.md) | God Mode Ultimate(./modules/GOD_MODE_ULTIMATE_ROADMAP.md) | Quantum Dashboard Roadmap(./frontend/QUANTUM_DASHBOARD_ROADMAP.md) | Dashboard Screenshots(./frontend/dashboard-screenshots.md) | Implementation Tasks(./status/IMPLEMENTATION_TASKS.md) | Revolutionary Features(./features/REVOLUTIONARY_FEATURES_SUMMARY.md) | Unified Trading Engine Guide(./user-guides/UNIFIED_TRADING_ENGINE_GUIDE.md) | Old Roadmaps(./archive/roadmaps/) | Development History(./archive/history/),
docs\REVOLUTIONARY_FEATURES_SUMMARY.md,REVOLUTIONARY_FEATURES_SUMMARY.md,🚀 AI ALGO TRADE - 5 DEVRİM NİTELİĞİNDE ÖZELLİK,status,2025-06-27T08:00:56.660621,5294,705,198,0,0,0,0,,,,
docs\roadmaps\ADVANCED_ROADMAP_2025.md,ADVANCED_ROADMAP_2025.md,🚀 ICT ULTRA V2: ADVANCED ROADMAP 2025,api,2025-06-27T02:20:51.704591,13633,1799,460,2,0,2,0,,(http://localhost:3000/quantum) | (http://localhost:8001/api/v1/ai/pattern-analysis),,
docs\roadmaps\AI_ALGO_TRADE_ENHANCED_ROADMAP_2025.md,AI_ALGO_TRADE_ENHANCED_ROADMAP_2025.md,🚀 AI ALGO TRADE - ENHANCED ROADMAP 2025,status,2025-06-27T01:58:11.027852,11566,1431,342,0,0,0,0,,,,
docs\roadmaps\MODULAR_DEVELOPMENT_ROADMAP_2025.md,MODULAR_DEVELOPMENT_ROADMAP_2025.md,🚀 AI Algo Trade - Modular Development Roadmap 2025,tech-spec,2025-06-30T12:56:53.958364,9296,1196,365,0,0,0,0,,,,
docs\SECURITY_ARCHITECTURE_COMPARISON.md,SECURITY_ARCHITECTURE_COMPARISON.md,Security Architecture Comparison: Traditional vs Advanced Approach,api,2025-07-01T08:04:24.111186,14036,1632,321,0,0,0,0,,,,
docs\SHADOW_MODE_ROADMAP.md,SHADOW_MODE_ROADMAP.md,🥷 SHADOW MODE - Detaylı Yol Haritası,status,2025-06-30T16:30:56.584918,17769,2177,589,3,0,3,0,,"(http://localhost:8002/api/v1/shadow-mode/whales?symbol=BTCUSD&limit=10"") | (http://localhost:8002/api/v1/shadow-mode/market-impact?symbol=EURUSD&timeframe=1h"") | (http://localhost:8002/api/v1/shadow-mode/institutional-flows?symbol=XAUUSD"")",,backend/modules/shadow_mode/models.py | backend/modules/shadow_mode/shadow_service.py | backend/api/v1/shadow_mode.py
docs\SQL_INJECTION_PROTECTION_SUMMARY.md,SQL_INJECTION_PROTECTION_SUMMARY.md,🔒 SQL Injection Protection Summary,api,2025-07-01T08:48:51.759192,4494,592,155,6,0,6,0,,OWASP SQL Injection Prevention(https://owasp.org/www-community/attacks/SQL_Injection) | Supabase Security Best Practices(https://supabase.com/docs/guides/auth/security) | PostgreSQL Security(https://www.postgresql.org/docs/current/sql-createpolicy.html) | (https://owasp.org/www-community/attacks/SQL_Injection) | (https://supabase.com/docs/guides/auth/security) | (https://www.postgresql.org/docs/current/sql-createpolicy.html),,
docs\status\ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md,ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md,🛡️ ADAPTIVE TRADE MANAGER - Implementation Tasks,tech-spec,2025-06-27T12:11:49.479067,5928,876,122,0,0,0,0,,,,__init__.py | models.py | position_monitor.py | risk_calculator.py | market_analyzer.py | optimization_engine.py | alert_manager.py | models.py | position_monitor.py | market_analyzer.py | risk_calculator.py | optimization_engine.py | alert_manager.py | backend/api/v1/adaptive_trade_manager.py | main.py
docs\status\GOD_MODE_IMPLEMENTATION_TASKS.md,GOD_MODE_IMPLEMENTATION_TASKS.md,⚡ GOD MODE IMPLEMENTATION TASKS,status,2025-06-27T08:17:49.748334,6420,786,209,0,0,0,0,,,,backend/modules/god_mode/__init__.py | backend/modules/god_mode/models.py | backend/modules/god_mode/core_service.py | backend/modules/god_mode/quantum_engine.py | backend/modules/god_mode/prediction_models.py | backend/modules/god_mode/risk_calculator.py | backend/api/v1/god_mode.py | backend/simple_main.py
docs\status\MARKET_NARRATOR_IMPLEMENTATION_TASKS.md,MARKET_NARRATOR_IMPLEMENTATION_TASKS.md,📖 MARKET NARRATOR - Implementation Tasks,tech-spec,2025-06-27T13:05:39.348164,4639,686,87,0,0,0,0,,,,__init__.py | models.py | data_aggregator.py | sentiment_analyzer.py | correlation_engine.py | story_generator.py | models.py | data_aggregator.py | sentiment_analyzer.py | correlation_engine.py | story_generator.py | backend/api/v1/market_narrator.py | main.py | adaptive-trade-manager-architecture.md | adaptive-trade-manager-flow.md
docs\status\MODULAR_INTEGRATION_SUMMARY.md,MODULAR_INTEGRATION_SUMMARY.md,🚀 AI Algo Trade - Modüler Entegrasyon Özeti,tech-spec,2025-06-27T20:32:24.745947,5935,727,192,0,0,0,0,,,,
docs\status\PHASE_DEVELOPMENT_STATUS.md,PHASE_DEVELOPMENT_STATUS.md,AI Algo Trade Platform - Phase Development Status,api,2025-06-27T05:23:24.468304,11038,1323,273,1,0,1,0,,(http://localhost:3001),,high_frequency_processor.py | copy_trading.py | compliance_engine.py | autonomous_agents.py
docs\status\SHADOW_MODE_IMPLEMENTATION_TASKS.md,SHADOW_MODE_IMPLEMENTATION_TASKS.md,🥷 SHADOW MODE - Implementation Tasks,api,2025-06-27T08:38:03.858778,11853,1456,322,0,0,0,0,,,,backend/modules/shadow_mode/__init__.py | backend/modules/shadow_mode/models.py | backend/modules/shadow_mode/shadow_service.py | institutional_tracker.py | whale_detector.py | dark_pool_monitor.py | stealth_executor.py | pattern_analyzer.py | backend/api/v1/shadow_mode.py | simple_main.py
docs\status\STRATEGY_WHISPERER_IMPLEMENTATION_TASKS.md,STRATEGY_WHISPERER_IMPLEMENTATION_TASKS.md,🧠 STRATEGY WHISPERER IMPLEMENTATION TASKS,tech-spec,2025-06-27T11:43:15.966234,6901,1101,247,0,0,0,0,,,,__init__.py | models.py | nlp_engine.py | strategy_parser.py | mql5_generator.py | backtest_engine.py | deployment_service.py | backend/api/v1/strategy_whisperer.py
docs\STRATEGY_WHISPERER_ROADMAP.md,STRATEGY_WHISPERER_ROADMAP.md,modules/strategy_whisperer/,status,2025-06-27T12:03:19.178513,5785,788,201,0,0,0,0,,,,
docs\system\SYSTEM_STATUS_CHECK.md,SYSTEM_STATUS_CHECK.md,AI Algo Trade - System Status Check,api,2025-06-29T14:10:11.138641,4177,520,146,7,0,7,0,,(http://localhost:3000) | (http://localhost:3000) | (http://localhost:8002/health) | (http://localhost:8002/performance) | (http://localhost:8002/docs) | (http://localhost:8002/health) | (http://localhost:8002/performance),,scripts/system_monitor.py
docs\technical\AI_ENHANCEMENTS_SUMMARY.md,AI_ENHANCEMENTS_SUMMARY.md,🚀 AI ALGO TRADE - QUANTUM AI ENHANCEMENTS IMPLEMENTED,tech-spec,2025-06-27T02:07:11.557725,9833,1182,363,6,0,6,0,,(http://localhost:3000/quantum`) | (http://localhost:8001/api/v1/ai/pattern-analysis?symbol=EURUSD) | (http://localhost:8001/api/v1/ai/models/status) | (http://localhost:8001/api/v1/ai/neural-activity) | (http://localhost:8001/api/v1/ai/predictions?symbol=EURUSD&horizon=1h) | (http://localhost:3000/quantum),,
docs\technical\ARCHITECTURE.md,ARCHITECTURE.md,ICT Ultra v2: Mimari Dokümantasyon,tech-spec,2025-06-25T16:23:11.312456,6535,754,140,0,0,0,0,,,,
docs\technical\IMPORT_SORUNLARI_COZULDU.md,IMPORT_SORUNLARI_COZULDU.md,🎉 AI ALGO TRADE - TÜM IMPORT SORUNLARI ÇÖZÜLDÜ!,tech-spec,2025-06-28T19:54:29.750990,3776,468,129,5,0,5,0,,(http://localhost:3000) | (http://localhost:8004) | (http://localhost:8004/health) | (http://localhost:3000) | (http://localhost:8004/health),,backend/core/config/settings.py | real_crypto_trading_fixed.py | test_mt5_fixed.py | fix_backend_imports.py
docs\technical\UNIFIED_TRADING_ENGINE_SUMMARY.md,UNIFIED_TRADING_ENGINE_SUMMARY.md,🚀 UNIFIED TRADING ENGINE - IMPLEMENTATION SUMMARY,tech-spec,2025-06-28T14:51:09.848370,6947,815,243,3,0,3,0,,"(http://localhost:8000/api/v1/unified/status"") | (http://localhost:8000/api/v1/unified/test/signal"",) | (http://localhost:8000/api/v1/unified/status)",,backend/core/enhanced_event_bus.py | backend/core/unified_trading_engine.py | backend/api/v1/unified_trading.py | test_unified_trading_engine.py | test_unified_api.py | start_unified_backend.py
docs\TICKMILL_LOGIN_GUIDE.md,TICKMILL_LOGIN_GUIDE.md,🚀 AI Algo Trade - Tickmill MT5 Login Guide,user-guide,2025-07-01T10:02:28.158436,3778,532,157,1,0,1,0,,(http://localhost:3000),,python test_mt5_connection.py
docs\UPDATED_MODULE_STATUS_2025.md,UPDATED_MODULE_STATUS_2025.md,📊 AI ALGO TRADE - UPDATED MODULE STATUS REPORT,api,2025-06-30T21:42:37.567161,7556,1088,311,0,0,0,0,,,,
docs\user-guides\COMPLETE_SYSTEM_GUIDE.md,COMPLETE_SYSTEM_GUIDE.md,🚀 AI Algo Trade - Güncel Sistem Kılavuzu,user-guide,2025-06-29T16:33:37.723687,4792,550,136,9,0,9,0,,(http://localhost:8002/health) | (http://localhost:8002/performance) | (http://localhost:8002/api/v1/market_data/symbols/active) | (http://localhost:8002/docs) | (http://localhost:3000/strategy-whisperer) | (http://localhost:3000/adaptive-trade-manager) | (http://localhost:3000/god-mode) | (http://localhost:3000/shadow) | (http://localhost:3000/market-narrator),,master_startup.py | master_startup.py | master_startup.py
docs\user-guides\PROJE_KULLANIM_KILAVUZU.md,PROJE_KULLANIM_KILAVUZU.md,AI ALGO TRADE - PROJE KULLANIM KILAVUZU,user-guide,2025-06-29T17:11:09.841309,2789,363,112,1,0,1,0,,(http://localhost:3000),,
docs\user-guides\QUICK_START_GUIDE.md,QUICK_START_GUIDE.md,AI Algo Trade - Hızlı Başlangıç Kılavuzu,user-guide,2025-06-28T19:26:43.130177,5348,628,189,14,0,14,0,,(http://localhost:8000) | (http://localhost:8004) | (http://localhost:8000/docs) | (http://localhost:3000) | (http://localhost:3000/strategy-whisperer) | (http://localhost:3000/adaptive-trade-manager) | (http://localhost:3000/god-mode) | (http://localhost:3000/shadow) | (http://localhost:3000/market-narrator) | (http://localhost:8000/api/v1/events/history) | (http://localhost:8000/api/v1/events/emit) | (http://localhost:8004/api/v1/crypto/prices) | (http://localhost:8004/api/v1/crypto/trade) | (http://localhost:3000),,
mql5_forge_repos\README.md,README.md,MQL5 Algo Forge Git Entegrasyonu,readme,2025-06-25T16:45:55.950981,3567,429,65,0,0,0,0,,,,
mql5_forge_repos\strategies\ict_ob_strategy\README.md,README.md,ICT Order Block Expert Advisor,diagram,2025-06-25T16:43:15.600346,3201,490,86,0,0,0,0,,,,
PROJECT_OVERVIEW.md,PROJECT_OVERVIEW.md,AI Algorithmic Trading Platform - Complete Project Overview,api,2025-07-01T06:51:46.480150,9408,1208,292,1,0,1,0,,(http://localhost:3000/quantum),,
README.md,README.md,🚀 AI Algo Trade - Advanced Trading Platform,tech-spec,2025-06-30T22:16:26.363226,5853,553,157,23,7,16,0,Complete Documentation(./docs/README.md) | Quick Start Guide(./docs/user-guides/QUICK_START_GUIDE.md) | Architecture Guide(./docs/architecture/) | Module Roadmaps(./docs/modules/) | Development Status(./docs/status/) | LICENSE(LICENSE) | docs/README.md(./docs/README.md),![Build Status(https://github.com/your-username/ai-algo-trade/workflows/CI-CD/badge.svg) | ![Version(https://img.shields.io/badge/version-2.0.0-blue.svg) | ![License(https://img.shields.io/badge/license-MIT-green.svg) | GitHub Issues(https://github.com/your-username/ai-algo-trade/issues) | GitHub Discussions(https://github.com/your-username/ai-algo-trade/discussions) | (https://github.com/your-username/ai-algo-trade/workflows/CI-CD/badge.svg) | (https://github.com/your-username/ai-algo-trade/actions) | (https://img.shields.io/badge/version-2.0.0-blue.svg) | (https://github.com/your-username/ai-algo-trade) | (https://img.shields.io/badge/license-MIT-green.svg) | (https://github.com/your-username/ai-algo-trade.git) | (http://localhost:3000`) | (http://localhost:3000/quantum`) | (http://localhost:8002/docs`) | (https://github.com/your-username/ai-algo-trade/issues) | (https://github.com/your-username/ai-algo-trade/discussions),,
SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md,SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md,"Supabase Authentication, GraphQL & Enhanced Security Implementation Plan",api,2025-07-01T07:46:18.294771,30855,2930,1085,7,0,7,0,,"(https://your-domain.com"",) | (https://www.your-domain.com"") | (http://localhost:3000"",) | (http://127.0.0.1:3000"") | (https://your-project.supabase.co) | (http://localhost:3000,http://127.0.0.1:3000) | (http://localhost:3000""])",,backend/core/config/settings.py
